"refPalme","number","RefID","Journal","Research.area","Title","Population","Animal.Group","immunoassay","Parallelism.reporting","Graph","Graph.type","Stats","Stats.type","DilutionLin","Stats.group","Stats.group.KF"
"NA",18,"https://doi.org/10.1111/1749-4877.12522","Integrative Zoology","Reproduction & Physiology","Characterization of intestinal microbiota and fecal cortisol, T3, and IgA in forest musk deer (Moschus berezovskii) from birth to weaning","Wildlife","Artiodactyla","EIA","No","","","","","","No stats",""
"1845",19,"https://doi.org/10.1371/journal.pone.0276542","Plos ONE","Reproduction & Physiology","Effects of different weaning times on the stress response and the intestinal microbiota composition of female forest musk deer (Moschus berezovskii) and their fawns","Wildlife","Artiodactyla","EIA","No","","","","","","No stats",""
"1890",20,"https://doi.org/10.1016/j.ygcen.2022.114092","General and Comparative Endocrinology,","Reproduction & Physiology","Validation of a non-invasive assessment technique for quantifying faecal glucocorticoid metabolite concentrations in the short-beaked echidna (Tachyglossus aculeatus).","Wildlife","Monotremata","EIA","Yes","N","","Y","R-squared","N","Correlation/regression","R2 (indiv curves)"
"1899",21,"https://doi.org/10.1007/s10980-021-01354-z","Landscape Ecology","Ecology & Conservation","Weather and land cover create a predictable “stress-scape” for a winter-adapted bird. ","Wildlife","Galliformes","RIA","Prev","","","","","","No stats",""
"1910",22,"https://doi.org/10.2754/avb202291010051","ACTA VET. BRNO","Behavioral & Welfare Science","Translocation stress is reflected in corticosterone metabolites in pheasant","Wildlife","Galliformes","EIA","No","","","","","","No stats",""
"1864",23,"https://doi.org/10.1016/j.applanim.2022.105789","Applied Animal Behaviour Science,","Behavioral & Welfare Science","The effects of transport of 18-day old hatching eggs on physiology and behaviour of slow growing broiler chicken.","Domestic Animals","Galliformes","RIA","Statement","","","","","","No stats",""
"1782",24,"https://doi.org/10.3389/fphys.2022.930158","Frontiers in Physiology","Behavioral & Welfare Science","Welfare implications for broiler chickens reared in an insect larvae-enriched environment: Focus on bird behaviour, plumage status, leg health, and excreta corticosterone.","Domestic Animals","Galliformes","EIA","Yes","N","","Y","R-squared","N","Correlation/regression","Correlation/regression"
"1808",25," https://doi.org/10.1071/AN21535 ","Animal Production Science ","Reproduction & Physiology","Measurement of corticosterone in the plasma, eggs and faeces of laying hens","Domestic Animals","Galliformes","EIA","No","","","","","","No stats",""
"1912",26,"https://doi.org/10.1093/conphys/coac040","Conservation Physiology","Reproduction & Physiology","Dynamic changes in the hormones of black-necked cranes during reproduction.","Wildlife","Gruiformes","EIA","No","","","","","","No stats",""
"1836",27,"https://doi.org/10.3390/ani12091072","Animals","Veterinary & Clinical Sciences","Fecal Glucocorticoid Metabolites as a Noninvasive Indicator of Stress in the Tsushima Leopard Cats (Prionailurus bengalensis euptilurus): Application to Health Care.","Wildlife","Carnivora","EIA","Statement","","","","","","No stats",""
"1792",28,"https://doi.org/10.1080/03014223.2021.1896560","New Zealand Journal of Zoology","Behavioral & Welfare Science","Effects of the presence of zoo visitors on zoo-housed little penguins (Eudyptula minor)","Wildlife","Sphenisciformes","EIA","Prev","","","","","","No stats",""
"1869",29,"https://doi.org/10.1371/journal.pone.0261796","PLoS ONE","Behavioral & Welfare Science","Fecal glucocorticoid metabolite levels in captive Indian leopards (Panthera pardus fusca) housed under three different enrichment regimes.","Wildlife","Carnivora","EIA","Prev","","","","","","No stats",""
"1816",30,"https://doi.org/10.1093/jmammal/gyab168","Journal of Mammalogy","Reproduction & Physiology","Validation and effects of drying and prey hair on fecal hormone concentrations in spotted hyenas","Wildlife","Carnivora","RIA","Yes","N","","Y","T-test","N","Equality of slopes","Equality of slopes"
"1831",31,"https://doi.org/10.3390/ani12070809","Animals","Reproduction & Physiology","An Investigation of Ovarian and Adrenal Hormone Activity in Post-Ovulatory Cheetahs (Acinonyx jubatus).","Wildlife","Carnivora","EIA","Prev","","","","","","No stats",""
"1811",32," https://doi.org/10.1016/j.mex.2022.101881 ","MethodsX","Reproduction & Physiology","A novel field method for preserving African lion ( Panthera leo ) fecal samples for noninvasive hormone metabolite analysis","Wildlife","Carnivora","EIA","Yes","N","","Y","R-squared","N","Other","???"
"1868",33,"https://doi.org/10.1093/cz/zoab104","Current Zoology","Behavioral & Welfare Science","Effect of intensity and duration of anthropic noises on European mink locomotor activity and fecal cortisol metabolite levels,","Wildlife","Carnivora","EIA","Statement","","","","","","No stats",""
"1877",34,"https://doi.org/10.1016/j.mex.2022.101623 ","MethodsX","Reproduction & Physiology","A field-friendly alternative to freeze-drying faeces for glucocorticoid metabolite analyses of African wild dogs ( Lycaon pictus )","Wildlife","Carnivora","EIA","Prev","","","","","","No stats",""
"1885",36,"https://doi.org/10.3390/ani12202820","Animals","Behavioral & Welfare Science","Dam (Canis familiaris) Welfare throughout the Peri-Parturient Period in Commercial Breeding Kennels","Domestic Animals","Carnivora","EIA","Yes","N","","Y","F-test","N","Equality of slopes","Equality of slopes"
"1791",37," https://doi.org/10.1016/j.jveb.2022.10.001 ","Journal of Veterinary Behavior","Behavioral & Welfare Science","he use of fecal cortisol for enrolment of free-roaming dogs in Singapore to a national rehabilitation-rehoming program: A possible indicator of allostasis. ","Domestic Animals","Carnivora","EIA","No","","","","","","No stats",""
"1785",38,"https://doi.org/10.1016/j.theriogenology.2022.01.026","Theriogenology","Reproduction & Physiology","Comparative fecal steroid profile during pregnancy, parturition, and lactation between natural fertilization and embryo transfer in ocelots (Leopardus pardalis)","Wildlife","Carnivora","EIA","Statement","","","","","","No stats",""
"1820",39,"https://doi.org/10.1098/rsbl.2021.0476","Biology Letters","Ecology & Conservation","Loss of an apex predator in the wild induces physiological and behavioural changes in prey.","Wildlife","Carnivora","EIA","Yes","N","","N","","N","No stats",""
"1802",40,"https://doi.org/10.1002/zoo.21671","Zoo Biology","Veterinary & Clinical Sciences","Dietary lutein supplementation improves immunity and antioxidant status of captive Indian leopards (Panthera fusca). ","Wildlife","Carnivora","EIA","No","","","","","","No stats",""
"NA",41,"https://doi.org/10.1002/zoo.21735","Zoo Biology","Behavioral & Welfare Science","Behavior and adrenal physiology of Magellanic penguins (Spheniscus magellanicus) serving as ambassador animals.","Wildlife","Sphenisciformes","RIA","Yes","N","","N","","Y","Dilution linearity",""
"1800",42,"https://doi.org/10.19227/jzar.v10i2.654","Journal of Zoo and Aquarium Research","Behavioral & Welfare Science","Faecal glucocorticoid metabolite concentrations associated with illness, sex, age, and season in a kea Nestor notabilis population at the Cincinnati Zoo and Botanical Garden.","Wildlife","Psittaciformes","EIA","Yes","N","","Y","R-squared","N","Correlation/regression","Correlation/regression"
"1907",43,"https://doi.org/10.7120/09627286.31.3.001","Animal Welfare","Behavioral & Welfare Science","Physiological and behavioural assessments of stress levels in owls housed at owl cafes.","Wildlife","Strigiformes","EIA","No","","","","","","No stats",""
"1795",44,"https://doi.org/10.3390/ani12131627","Animals","Reproduction & Physiology","Validation of an Enzyme Immunoassay to Measure Faecal Glucocorticoid Metabolites in Common Brushtail Possums (Trichosurus vulpecula) to Evaluate Responses to Rehabilitation.","Wildlife","Marsupialia","EIA","Yes","N","","Y","Linear regression","N","Correlation/regression","???"
"1805",45,"https://doi.org/10.1016/j.yhbeh.2022.105228","Hormones and Behavior","Reproduction & Physiology","Social roles influence cortisol levels in captive Livingstone's fruit bats (Pteropus livingstonii). ","Wildlife","Chiroptera","EIA","Yes","N","","Y","ANCOVA","N","Equality of slopes","Equality of slopes"
"1891",46,"https://doi.org/10.3161/15081109ACC2022.24.2.014","Acta Chiropterologica","Reproduction & Physiology","Testing of Daubenton's bat (Myotis daubentonii) droppings for field behavioural endocrinology.","Wildlife","Chiroptera","EIA","Prev","","","","","","No stats",""
"1913",47,"https://doi.org/10.1080/15230430.2022.2146633","Arctic, Antarctic, and Alpine Research,","Ecology & Conservation","Stress-associated metabolites vary with both season and habitat across","Wildlife","Lagomorpha","EIA","Prev","","","","","","No stats",""
"1777",48,"http://dx.doi.org/10.17582/journal.jahp/2022/10.2.146.152","Journal of Animal Health and Production","Reproduction & Physiology","Assessment of cortisol levels in captive blackbucks (Antilope cervicapra).","Wildlife","Artiodactyla","EIA","No","","","","","","No stats",""
"1778",49,"https://doi.org/10.3390/ani12030373","Animals","Behavioral & Welfare Science","Investigating welfare metrics for snakes at the Saint Louis zoo.","Wildlife","Squamata","EIA","Yes","N","","Y","Test of equal slopes","Y","Equality of slopes and linearity","Equality of slopes & linearity (vague)"
"1779",50,"https://doi.org/10.1038/s41598-022-06307-3","Scientific reports","Behavioral & Welfare Science","The impact of tethered recording techniques on activity and sleep patterns in rats. ","Laboratory Animals","Rodentia","EIA","Prev","","","","","","No stats",""
"1780",51,"https://doi.org/10.1371/journal.pone.0276844","PLoS ONE","Behavioral & Welfare Science","Assessing the effect of compounds from plantar foot sweat, nesting material, and urine on social behavior in male mice, Mus musculus","Laboratory Animals","Rodentia","EIA","Prev","","","","","","No stats",""
"1783",52,"https://doi.org/10.30802/AALAS-JAALAS-21-000024","Journal of the American Association for Laboratory Animal Science ","Behavioral & Welfare Science","Ultrasonic vocalization analysis as a novel metric to assess cage enrichment in rats. ","Laboratory Animals","Rodentia","EIA","No","","","","","","No stats",""
"1784",53,"https://doi.org/10.1159/000525967","Developmental Neuroscience","Behavioral & Welfare Science","The effects of rearing in a shelved environment on behavioral and physiological markers of welfare in rats (Rattus norvegicus). ","Laboratory Animals","Rodentia","EIA","No","","","","","","No stats",""
"1786",54,"https://doi.org/10.1016/j.yhbeh.2022.105261","Hormones and Behavior","Ecology & Conservation","Effects of methylmercury and food stress on migratory activity in song sparrows, Melospiza melodia.","Wildlife","Passeriformes","EIA","No","","","","","","No stats",""
"1787",55,"https://doi.org/10.1371/journal.pone.0277420","PLoS ONE","Ecology & Conservation","Evaluating noninvasive methods for estimating cestode prevalence in a wild carnivore population.","Wildlife","Carnivora","RIA","No","","","","","","No stats",""
"1788",56,"https://doi.org/10.1016/j.jneumeth.2021.109387","Journal of Neuroscience Methods","Behavioral & Welfare Science","An apparatus for automatically training and collecting individualized behavioral data with socially housed rodents.","Laboratory Animals","Rodentia","EIA","No","","","","","","No stats",""
"1790",57,"https://doi.org/10.1002/wlb3.01011","Wildlife Biology","Ecology & Conservation","Quantification of faecal glucocorticoid metabolites as a measure of stress in the rock hyrax Procavia capensis living in an urban green space.","Wildlife","Hyracoidea","EIA","Statement","","","","","","No stats",""
"1909",58,"https://doi.org/10.1186/s40850-022-00126-9","BMC Zoology","Behavioral & Welfare Science","Personality matters: exploring the relationship between personality and stress physiology in captive African lions","Wildlife","Carnivora","EIA","Statement","","","","","","No stats",""
"1880",59,"https://doi.org/10.3390/ani12070849","Animals","Reproduction & Physiology","Glucocorticoids of European Bison in Relation to Their Status: Age, Dominance, Social Centrality and Leadership","Wildlife","Artiodactyla","EIA","Prev","","","","","","No stats",""
"1839",60,"https://doi.org/10.1016/j.therwi.2022.100011","Theriogenology Wild","Reproduction & Physiology","Physical and behavioral indicators associated with hormonal changes during musth in zoo-housed and free-ranging Asian elephants (Elephas maximus)","Wildlife","Proboscidea","EIA","Yes","Y","sigmoid curve (x-axis log transformed)","Y","F-test","N","Equality of slopes","Equality of slopes"
"1793",61,"https://doi.org/10.1016/j.ygcen.2022.113985","General and Comparative Endocrinology","Reproduction & Physiology","Simultaneous investigation of urinary and faecal glucocorticoid metabolite concentrations reveals short- versus long-term drivers of HPA-axis activity in a wild primate (Papio ursinus). ","Wildlife","Primates","EIA","Prev","","","","","","No stats",""
"1794",62,"https://doi.org/10.1016/j.applanim.2022.105560","Applied Animal Behaviour Science","Behavioral & Welfare Science","Insect-repelling behaviour in horses in relation to insect prevalence and access to shelters.","Domestic Animals","Perissodactyla","EIA","Prev","","","","","","No stats",""
"1797",63,"https://doi.org/10.3390/ani12182355","Animals","Behavioral & Welfare Science","Multifactorial evaluation of regrouping effects on performance and welfare in two Italian dual-purpose chicken breeds: Bianca di Saluzzo and Bionda Piemontese.","Domestic Animals","Galliformes","EIA","Yes","N","","Y","R-squared","N","Correlation/regression","Correlation/regression"
"1918",64,"https://doi.org/10.3390/biology11020291","Biology","Behavioral & Welfare Science","Effects of Cohousing Mice and Rats on Stress Levels, and the Attractiveness of Dyadic Social Interaction in C57BL/6J and CD1 Mice as Well as Sprague Dawley Rats.","Laboratory Animals","Rodentia","EIA","Prev","","","","","","No stats",""
"1919",65,"https://doi.org/10.1007/s00360-022-01429-6","Journal of Comparative Physiology B","Ecology & Conservation","Seasonal patterns in behavior and glucocorticoid secretion","Wildlife","Rodentia","EIA","Statement","","","","","","No stats",""
"1798",67,"https://doi.org/10.1002/ajpa.24464","American Journal of Biological Anthropology","Reproduction & Physiology","Correlates of hormonal modulation in mantled howler monkey males, Alouatta palliate.","Wildlife","Primates","CIA","Yes","N","","Y","T-test","N","Equality of slopes","Equality of slopes"
"1799",68,"https://doi.org/10.3390/ani12111344","Animals","Behavioral & Welfare Science","Exploring the evacuation of dairy cattle at night in collaboration with the fire brigade: How to prepare openings for swift rescue in case of barn fire.","Domestic Animals","Artiodactyla","EIA","No","","","","","","No stats",""
"1803",69,"https://doi.org/10.1016/j.jveb.2022.07.002","Journal of Veterinary Behavior","Behavioral & Welfare Science","Effects of rearing methods on feather-damaging behavior and corticosterone metabolite excretion in the peach-faced lovebird (Agapornis roseicollis Vieillot).","Wildlife","Psittaciformes","EIA","No","","","","","","No stats",""
"1807",70,"https://doi.org/10.1016/j.yhbeh.2022.105183","Hormones and Behavior","Ecology & Conservation","Physiological links with behavior and ﬁtness: The acute adrenocortical response predicts trappability but not survival in male and female deermice.","Wildlife","Rodentia","EIA","Prev","","","","","","No stats",""
"1809",71,"https://doi.org/10.3390/ani12233303","Animals","Behavioral & Welfare Science","A longitudinal analysis of variability in fecal glucocorticoid metabolite concentrations in three orangutans (Pongo pygmaeus pygmaeus and Pongo pygmaeus abelii) before, during, and after transition from a regular habitat environment to temporary housing in indoor holding facilities. ","Wildlife","Primates","EIA","Yes","Y","sigmoid curve (x-axis log transformed)","N","","N","No stats",""
"1810",72,"https://doi.org/10.19227/jzar.v10i1.593","Journal of Zoo and Aquarium Research","Behavioral & Welfare Science","Monitoring the behaviour and stress physiology of male gorillas Gorilla gorilla gorilla for one year following bachelor group formation.","Wildlife","Primates","EIA","Prev","","","","","","No stats",""
"1917",73,"https://doi.org/10.3390/ani12212927","Animals","Behavioral & Welfare Science","Generalizability, Robustness and Replicability When Evaluating Wellbeing of Laboratory Mice with Various Methods","Laboratory Animals","Rodentia","EIA","No","","","","","","No stats",""
"1916",74,"https://doi.org/10.1038/s41598-022-13924-5","Scientific Reports","Neuroscience & Biomedical Research","3D-printed lightweight dorsal skin fold chambers from PEEK reduce chamber-related animal distress. ","Laboratory Animals","Rodentia","EIA","No","","","","","","No stats",""
"1915",75,"https://doi.org/10.3390/ani12131622","Animals","Behavioral & Welfare Science","The impact of COVID-19 zoo closures on behavioural and physiological parameters of welfare in primates.","Wildlife","Primates","EIA","Yes","N","","Y","Correlation test","N","Correlation/regression","Correlation/regression"
"1812",76,"https://doi.org/10.1371/journal.pone.0264931","PLoS ONE","Behavioral & Welfare Science","Developing welfare parameters for African elephants (Loxodonta africana) in fenced reserves in South Africa. ","Wildlife","Proboscidea","EIA","Prev","","","","","","No stats",""
"1813",77,"https://doi.org/10.1038/s41398-022-01855-8","Translational Psychiatry","Neuroscience & Biomedical Research","Stress vulnerability shapes disruption of motor cortical neuroplasticity. ","Laboratory Animals","Rodentia","EIA","No","","","","","","No stats",""
"1815",78,"https://doi.org/10.1016/j.ygcen.2021.113948","General and Comparative Endocrinology","Reproduction & Physiology","Hormonal correlates of male dominance rank, age, and genital coloration in vervet monkey (Chlorocebus pygerythrus).","Wildlife","Primates","EIA","Yes","Y","sigmoid curve (x-axis log transformed)","Y","T-test","N","Equality of slopes","Equality of slopes"
"1818",79,"https://doi.org/10.3389/fpsyt.2022.827667","Frontiers in Psychiatry","Neuroscience & Biomedical Research","Maternal deprivation increased vulnerability to depression in adult rats through DRD2 promoter methylation in the ventral tegmental area. ","Laboratory Animals","Rodentia","EIA","No","","","","","","No stats",""
"1819",80,"https://doi.org/10.1016/j.animal.2022.100614","Animal","Behavioral & Welfare Science","Heifers don’t care: No evidence of a negative impact on animal welfare of growing heifers when using virtual fences compared to physical fences for grazing. ","Domestic Animals","Artiodactyla","EIA","Prev","","","","","","No stats",""
"1905",81,"https://doi.org/10.1071/WR21003","Wildlife Research","Ecology & Conservation","Exploring seasonal variation in the faecal glucocorticoid concentrations of African elephants (Loxodonta africana) living in a drought-prone, anthropogenic landscape. ","Wildlife","Proboscidea","EIA","Yes","N","","Y","Linear regression","N","Correlation/regression","Correlation/regression"
"1906",82,"https://doi.org/10.1093/cz/zoab034","Current zoology","Ecology & Conservation","The benefits of being dominant: Health correlates of male social rank and age in a marmot.","Wildlife","Rodentia","RIA","Prev","","","","","","No stats",""
"1911",83,"https://doi.org/10.1371/journal.pbio.3001564","PLoS biology","Neuroscience & Biomedical Research","Do multiple experimenters improve the reproducibility of animal studies? ","Laboratory Animals","Rodentia","EIA","Prev","","","","","","No stats",""
"1821",85,"https://doi.org/10.1016/j.yhbeh.2022.105155","Hormones and Behavior","Reproduction & Physiology","The endocrine control of reproductive suppression in an aseasonally breeding social subterranean rodent, the Mahali mole-rat (Cryptomys hottentotus mahali).","Wildlife","Rodentia","EIA","No","","","","","","No stats",""
"1822",86,"https://doi.org/10.21897/rmvz.2688","Journal MVZ Cordoba","Ecology & Conservation","Nocturnal birds of prey in captivity: a study in the owl Strix virgate (Strigidae).","Wildlife","Strigiformes","EIA","No","","","","","","No stats",""
"1823",87,"https://doi.org/10.1099/mic.0.001226","Microbiology","Ecology & Conservation","A comparison of faecal glucocorticoid metabolite concentration and gut microbiota diversity in bonobos (Pan paniscus). ","Wildlife","Primates","EIA","Prev","","","","","","No stats",""
"1824",88,"https://doi.org/10.1038/s41598-022-12846-6","Scientific Reports","Behavioral & Welfare Science","Effects of separated pair housing of female C57BL/6JRj mice on well-being. ","Laboratory Animals","Rodentia","EIA","Prev","","","","","","No stats",""
"1825",89,"https://doi.org/10.18311/jer/2022/29810","Journal of Endocrinology and Reproduction","Ecology & Conservation","Impacts of livestock grazing on fecal glucocorticoid levels and gastrointestinal parasite prevalence in blue sheep in Spiti Valley, Western Himalayas.","Wildlife","Artiodactyla","EIA","Statement","","","","","","No stats",""
"1826",90,"https://doi.org/10.1016/j.bbr.2022.113978","Behavioural Brain Research","Neuroscience & Biomedical Research","Divergent neural and endocrine responses in wild-caught and laboratory-bred Rattus norvegicus. ","Laboratory Animals","Rodentia","EIA","No","","","","","","No stats",""
"1827",91,"https://doi.org/10.1016/j.nbd.2022.105717","Neurobiology of Disease","Neuroscience & Biomedical Research","The neuroendocrine stress response impairs hippocampal vascular function and memory in male and female rats. ","Laboratory Animals","Rodentia","EIA","No","","","","","","No stats",""
"1828",92,"https://doi.org/10.1016/j.beproc.2022.104642","Behavioural Processes","Neuroscience & Biomedical Research","Effects of dietary polyunsaturated fatty acids on corticosterone concentrations and spatial learning in rats.","Laboratory Animals","Rodentia","EIA","Prev","","","","","","No stats",""
"1829",93,"https://doi.org/10.1016/j.ygcen.2022.114052","General and Comparative Endocrinology","Reproduction & Physiology","Patterns of faecal glucocorticoid metabolite levels in captive roan antelope (Hippotragus equinus) in relation to reproductive status and season. ","Wildlife","Artiodactyla","EIA","Statement","","","","","","No stats",""
"1830",94,"https://doi.org/10.1111/jne.13179","Journal of Neuroendocrinology","Neuroscience & Biomedical Research","The emotional impact of disrupted environmental contexts: Enrichment loss and coping profiles influence stress response recovery in Long-Evans rats. ","Laboratory Animals","Rodentia","EIA","No","","","","","","No stats",""
"1832",95,"https://doi.org/10.3390/ani12162141","Animals","Behavioral & Welfare Science","Effect of different ambient temperatures on reproductive outcome and wellbeing of lactating mothers of two mouse strains.","Laboratory Animals","Rodentia","EIA","Prev","","","","","","No stats",""
"1833",96,"https://doi.org/10.1016/j.ygcen.2022.114099","General and Comparative Endocrinology","Reproduction & Physiology","Non-invasive assessment of fecal glucocorticoid, progesterone, and androgen metabolites and microbiome in free-ranging southern white rhinoceros (Ceratotherium simum simum) in South Africa.","Wildlife","Perissodactyla","EIA vs UPC-MS/MS","Statement","","","","","","No stats",""
"1834",97,"https://doi.org/10.1016/j.anireprosci.2022.107070","Animal Reproduction Science","Reproduction & Physiology","Noninvasive monitoring of steroid hormone production and activity of zoo-housed banteng (Bos javanicus). ","Wildlife","Artiodactyla","RIA","Yes","N","","Y","Test of equal slopes","Y","Equality of slopes","Equality of slopes & linearity (vague)"
"1835",98,"https://doi.org/10.30802/AALAS-JAALAS-21-000129","Journal of the American Association for Laboratory Animal Science","Behavioral & Welfare Science","A comparison of blood collection techniques in mice and their effects on welfare.","Laboratory Animals","Rodentia","EIA","No","","","","","","No stats",""
"1837",99,"https://doi.org/10.1002/ajp.23426","American Journal of Primatology","Ecology & Conservation","How individual, social, and ecological conditions influence dispersal decisions in male vervet monkeys. ","Wildlife","Primates","EIA","Prev","","","","","","No stats",""
"1838",100,"https://doi.org/10.1016/j.yhbeh.2022.105237","Hormones and Behavior","Ecology & Conservation","Cortisol metabolites vary with environmental conditions, predation risk, and human shields in a wild primate, Cercopithecus albogularis. ","Wildlife","Primates","EIA","Yes","N","","Y","R-squared","N","Equality of slopes","Equality of slopes"
"1840",101,"https://doi.org/10.1152/ajpendo.00233.2021","American Journal of Physiology-Endocrinology and Metabolism","Neuroscience & Biomedical Research","Chronic cerebral hypoperfusion in male rats results in sustained HPA activation and hyperinsulinemia. ","Laboratory Animals","Rodentia","EIA","No","","","","","","No stats",""
"1844",102,"https://doi.org/10.1073/pnas.2113518119","PNAS (Proceedings of the National Academy of Sciences)","Neuroscience & Biomedical Research","Hypothalamic deep brain stimulation as a strategy to manage anxiety disorders. ","Laboratory Animals","Rodentia","EIA","No","","","","","","No stats",""
"1846",103,"https://doi.org/10.3389/fnins.2022.853527","Frontiers in Neuroscience","Neuroscience & Biomedical Research","Male and female C57BL/6 mice respond differently to awake magnetic resonance imaging habituation.","Laboratory Animals","Rodentia","CIA","No","","","","","","No stats",""
"1847",104,"https://doi.org/10.1038/s41598-022-06060-7","Scientific Reports","Neuroscience & Biomedical Research","Evolution of an increased performance under acute challenge does not exacerbate vulnerability to chronic stress. ","Wildlife","Rodentia","RIA??","Prev","","","","","","No stats",""
"1848",105,"https://doi.org/10.1002/wlb3.01020","Wildlife Biology","Ecology & Conservation","Ecological relationships among habitat type, food nutrients, parasites and hormones in wild boar Sus scrofa during winter. ","Wildlife","Artiodactyla","RIA","No","","","","","","No stats",""
"1849",106,"https://doi.org/10.3389/fnbeh.2022.908366","Frontiers in Behavioral Neuroscience","Neuroscience & Biomedical Research","Comparative severity assessment of genetic, stress-based and pharmacological mouse models of depression.","Laboratory Animals","Rodentia","EIA","Prev","","","","","","No stats",""
"1850",107,"https://doi.org/10.3389/fnbeh.2022.924603","Frontiers in Behavioral Neuroscience","Neuroscience & Biomedical Research","Dopamine transporter knockout rats show impaired wellbeing in a multimodal severity assessment approach. ","Laboratory Animals","Rodentia","EIA","Prev","","","","","","No stats",""
