Reference number in Dr. Palme list,number,RefID,Author list,Journal,Research area,Title,City,Country,Population,Class,Animal Group,Latin Species,Species,"number 
 (of fecal samples)",RC%,immunoassay,Parallelism reporting,Parallism reporting comments,Graph,Graph type,Graph alignment,Graph comments,Stats,Stats type,Stats reported,Other stats info to extract?,Do they test Dilution linearity?,"If yes, what is reported?",Trouble-shooting,Solutions,Stats group,Stats group KF,Stats quality,Stats notes,Interpretation,
1876,11,https://doi.org/10.1371/journal.pone.0271409,"Pollastri I ,Simona Normando,Daniela Florio,Linda Ferrante,Francesca Bandoli,Elisabetta Macchi,Alessia Muzzo,Barbara de Mori",Plos ONE,Behavioral & Welfare Science,The Animal-Visitor Interaction Protocol (AVIP) for the assessment of Lemur catta walk-in enclosure in zoos,Legnaro/Padua/BologniaPistoia/Grugliasco,EU,Wildlife,Mammalia,Primates,Lemur catta,ring-tailed lemur,41,-,EIA,No,"it just says Assay ""validated for dry fecal""",,,,,,,,,,,,,No stats,,,,,
1889,12,https://doi.org/10.1186/s40168-021-01223-6,"Rudolph, K., Schneider, D., Fichtel, C., Daniel, R., Heistermann, M., & Kappeler, P. M.",Microbiome,Ecology & Conservation,Drivers of gut microbiome variation within and between groups of a wild Malagasy primate.,Göttingen,EU,Wildlife,Mammalia,Primates,Propithecus verreauxi,Verreaux's sifaka,1152,-,EIA,Prev,"Fichtel C, Kraus C, Ganswindt A, Heistermann M. Influence of reproductive season and rank on fecal glucocorticoid levels in free-ranging male Verreaux’s sifakas (Propithecus verreauxi). Horm Behav. 2007;51:640–8",,,,,,,,,,,,,No stats,,,,,
1817,13,https://doi.org/10.3389/fnbeh.2022.901425,"Grilo, Maria Lara Porpino, Geovan Menezes de Sousa, Lilían Andrade Carlos de Mendonça, Bruno Lobão-Soares, Maria Bernardete Cordeiro de Sousa, Fernanda Palhano-Fontes, Draulio Barros de Araujo, Daniel Perkins, Jaime Eduardo Cecilio Hallak, and Nicole Leite Galvão-Coelho.",Frontiers in Behavioral Neuroscience,Neuroscience & Biomedical Research,Prophylactic action of ayahuasca in a non-human primate model of depressive-like behavior.,Natal/Rio Grande Do Norte/Sao Paulo/Melbourne/Westmead,Brazil/Australia,Laboratory Animals,Mammalia,Primates,Callithrix jacchus,common marmoset,36,-,EIA,No,,,,,,,,,,,,,,No stats,,,,,
1781,14,https://doi.org/10.1016/j.ygcen.2022.114109,"Beehner, J.C., Alfaro, J., Allen, C., Benitez, M.E., Bergman, T.J., Buehler, M.S., Carrera, S.C., Chester, E.M., Deschner, T., Fuentes, A. and Gault, C.M.","General and Comparative Endocrinology,",Reproduction & Physiology,Using an on-site laboratory for fecal steroid analysis in wild white-faced capuchins.,"Ann Arbor, various",USA/Costa Rica/EU,Wildlife,Mammalia,Primates,Cebus imitator (capucinus),white-faced capuchin,676,SerDil + added standard,EIA,Yes,"extensive  explanation of parallelism, from the 50% binding concentrations the back calculated the ""expected "" concentrations based on dilution factor, log transform it and plot it for parallelism ",Y,sigmoid curve (x-axis log transformed),Center at 50% binding,,Y,ANOVA ,"F, p ",p > 0.05 = slopes are not significantly different,N,,,,Slopes comparison,Equality of slopes,Good,"First, we determined parallelism for each assay both visually and by modeling the percent binding from the concentrations of a serial dilution of a fecal pool and the assay standard curve. All assays showed sufficient parallelism between the binding range of 20–80% (Fig. 2a–f). Additionally, there was no significant interaction between the concentrations and the type of sample (serial dilution vs standard) for any of our assays, indicating that the slopes of these lines were not significantly different.",,"""although many behavioral endocrinologists have confirmed that a visual determination of parallelism is sufficient and sometimes more conservative than statistics alone; ISWE-members listserv discussion Mar 10–25, 2021"""
1901,15,https://doi.org/10.1038/s41598-022-04986-6,"Sosnowski, M.J., Benítez, M.E. & Brosnan, S.F.",Scientific Reports,Neuroscience & Biomedical Research,Endogenous cortisol correlates with performance under pressure on a working memory task in capuchin monkeys.,Atlanta/Decatur/,USA,Laboratory Animals,Mammalia,Primates,Sapajus (or Cebus)  apella,tufted capuchin,?,-,EIA,Yes,They tested for linearity in the concentrations in the serial dilutions,Y,Table,,Table S3,Y,Pearson's chi_square,Chi-Squared  and p-value,,N,,,,Slopes comparison,Dilution linearity,Confused,"""Observed values were not statistically different from expected values (Pearson X2(3) = 6.0, p = 0.11)."" Reported % recovery (which should be %error/deviation), but completely miscalculated",,
1855,16,https://doi.org/10.3389/fevo.2022.863242,"Martínez-Mota, R., Righini, N., Mallott, E. K., Palme, R., & Amato, K. R",Frontiers in Ecology and Evolution,Ecology & Conservation,Environmental stress and the Primate microbiome: Glucocorticoids contribute to structure gut bacterial communities of black howler monkeys in anthropogenically disturbed forest fragments.,Xalapa/Ciudad Guzmán/Evanstone/Nashville/Vienna,Mexico/USA/EU,Wildlife,Mammalia,Primates,Alouatta pigra,black howler monkey,61,-,EIA,Prev,"Martínez-Mota, R., Valdespino, C., Rivera Rebolledo, J. A., and Palme, R. (2008). Determination of fecal glucocorticoid metabolites to evaluate stress response in Alouatta pigra. Int. J. Primatol. 29, 1365–1373",,,,,,,,,,,,,No stats,,,,,
1789,17,https://doi.org/10.1098/rspb.2022.0464,"Carbillet J, Benjamin Rey, Rupert Palme, Chloé Monestier, Luca Börger, Typhaine Lavabre, Marie-Line Maublanc, Nicolas Cebe, Jean-Luc Rames, Guillaume Le Loc'h, Marine Wasniewski, Benoit Rannou, Emmanuelle Gilot-Fromont and Hélène VerheydenHideformat",Proceedings of the Royal Society,Ecology & Conservation,"Co-variation between glucocorticoids,behaviour and immunity supports thepace-of-life syndrome hypothesis:an experimental approach",Castanet Tolosan/Marcy-l’Etoile/Villeurbanne/Vienna/Nogent-sur-Vernisson,EU,Wildlife,Mammalia,Artiodactyla,Capreolus capreolus,roe deer,181,-,EIA,Prev,"Zbyryt A, Bubnicki JW, Kuijper DP, Dehnhard M,Churski M, Schmidt K. 2017 Do wild ungulates experience higher stress with humans than with large carnivores? Behav. Ecol.29,19–30. (doi:10.1093/beheco/arx142)",,,,,,,,,,,,,No stats,,,,,
not in the list,18,https://doi.org/10.1111/1749-4877.12522,"Yimeng LI, Tianxiang ZHANG, Minghui SHI, Baofeng ZHANG, Xin HU, Shanghua XU, Jianhong DING, Shuqiang LIU, Defu HU, Daniel RUBENSTEIN",Integrative Zoology,Reproduction & Physiology,"Characterization of intestinal microbiota and fecal cortisol, T3, and IgA in forest musk deer (Moschus berezovskii) from birth to weaning",-,China,Wildlife,Mammalia,Artiodactyla,Moschus berezovskii,forest musk deer,-,-,EIA,No,"They used Bovine ELISA because phylogenetically close to bovids (Hassanin
& Douzery 2003; Chen et al. 2019)",,,,,,,,,,,,,No stats,,,,,
1845,19,https://doi.org/10.1371/journal.pone.0276542,"Li Y,Minghui Shi,Baofeng Zhang,Jiahui Wu,Yichen Wang,Mengqi Li,Yining Wu,Xin Hu,Defu Hu ,Zhixin Huang ,Torsten Wronski ",Plos ONE,Reproduction & Physiology,Effects of different weaning times on the stress response and the intestinal microbiota composition of female forest musk deer (Moschus berezovskii) and their fawns,Beijing/Zhangzhou City/Liverpool,China/USA,Wildlife,Mammalia,Artiodactyla,Moschus berezovskii,musk deer,72,-,EIA,No,"They used Bovine ELISA because phylogenetically close to bovids (Hassanin
& Douzery 2003; Chen et al. 2019)",,,,,,,,,,,,,No stats,,,,,
1890,20,https://doi.org/10.1016/j.ygcen.2022.114092,"Russell, Freya A., Stephen D. Johnston, Andrew Hill, Alice Roser, Haley Meer, Jane C. Fenelon, Marilyn B. Renfree, and Tamara Keeley. ""","General and Comparative Endocrinology,",Reproduction & Physiology,Validation of a non-invasive assessment technique for quantifying faecal glucocorticoid metabolite concentrations in the short-beaked echidna (Tachyglossus aculeatus).,Gatton/Gold Coast/Victoria,Australia,Wildlife,Mammalia,Monotremata,Tachyglossus aculeatus,short-beaked echidna,78,-,EIA,Yes,,N,,,,Y,R-squared,R-squared,assumption is that similar R2 confirm parallelism,N,,,,Other,R2 (indiv curves),Confused,"""Results were assessed by visual inspection of the respective curves and by comparing the r2 value of the standard curve against the curve produced by the serially diluted sample pool (see Table 2) with the assumption that similar r2 values will confirm parallelism.""",,
1899,21,https://doi.org/10.1007/s10980-021-01354-z,"Shipley, A. A., Sheriff, M. J., Pauli, J. N., & Zuckerberg, B",Landscape Ecology,Ecology & Conservation,Weather and land cover create a predictable “stress-scape” for a winter-adapted bird. ,Madison/University Park,USA,Wildlife,Aves,Galliformes,Bonasa umbellus,ruffed grouse,443,-,RIA,Prev,"Zimmerman GS, Millspaugh JJ, Link WA, Woods RJ, Gutierrez
RJ (2013) A flexible Bayesian hierarchical approach for
analyzing spatial and temporal variation in the fecal corticosterone
levels in birds when there is imperfect knowledge
of individual identity. Gen Comp Endocrinol
194:4–70",,,,,,,,,,,,,No stats,,,,,
1910,22,https://doi.org/10.2754/avb202291010051,"Volfová, M., Palme, R., Machovcová, Z., Voslářová, E., Lukešová, G., & Večerek, V.",ACTA VET. BRNO,Behavioral & Welfare Science,"Translocation stress is reflected in corticosterone metabolites in pheasant
(Phasianus colchicus) droppings",Brno/Vienna,EU,Wildlife,Aves,Galliformes,Phasianus colchicus,common pheasants ,448,-,EIA,No,"they don't mention validation at al, but refer to another paper on chickens Rettenbacher S, Möstl E, Hackl R, Ghareeb K, Palme R 2004: Measurement of corticosterone metabolites in chicken droppings. Br Poult Sci 45: 704-711, where they validated through HPLC",,,,,,,,,,,,,No stats,,,,,
1864,23,https://doi.org/10.1016/j.applanim.2022.105789,"Nordquist, R. E., Vernooij, J. C. M., Dull, C. L., Pascual, A., Van Der Linde, G., & Goerlich, V. C. ","Applied Animal Behaviour Science,",Behavioral & Welfare Science,The effects of transport of 18-day old hatching eggs on physiology and behaviour of slow growing broiler chicken.,Utrecht,EU,Domestic Animals,Aves,Galliformes,Gallus domesticus,chicken,148,SerDil + added standard,RIA,Statement,""" The kits were validated for measuring FCM in chicken samples by measuring serial dilutions and adding a known amount of CORT standard solution."" ",,,,,,,,,,,,,No stats,,,,,
1782,24,https://doi.org/10.3389/fphys.2022.930158,"Biasato, I., Bellezza Oddon, S., Chemello, G., Gariglio, M., Fiorilla, E., Dabbou, S., Pipan, M., Dekleva, D., Macchi, E., Gasco, L. and Schiavone, A., ",Frontiers in Physiology,Behavioral & Welfare Science,"Welfare implications for broiler chickens reared in an insect larvae-enriched environment: Focus on bird behaviour, plumage status, leg health, and excreta corticosterone.",Ancona/Turin/Trento/Cambridge,EU/UK,Domestic Animals,Aves,Galliformes,Gallus domesticus,chicken,720,-,EIA,Yes,""" All of the samples were analysed at multiple dilutions (1:4, 1:8, 1:16, and 1:32) and all the regression slopes were parallel to the standard curve (r2 = 0.979).",N,,,,Y,R-squared,R-squared,,N,,,,Other,Correlation/regression,Weak,"""All of the samples were analysed at multiple dilutions (1:4, 1:8, 1:16, and 1:32) and all the regression slopes were parallel to the standard curve (r2 = 0.979).",,
1808,25, https://doi.org/10.1071/AN21535 ,"Engel, Joanna M., Paul H. Hemsworth, Kym L. Butler, and Alan J. Tilbrook.",Animal Production Science ,Reproduction & Physiology,"Measurement of corticosterone in the plasma, eggs and faeces of laying hens",Parkville/St Lucia/Hamilton,Australia,Domestic Animals,Aves,Galliformes,Gallus domesticus,chicken,150,-,EIA,No,,,,,,,,,,,,,,No stats,,,,,
1912,26,https://doi.org/10.1093/conphys/coac040,"Wang, Y., Zhang, G., Jiang, H., Liu, D., Hu, X. and Qian, F.,",Conservation Physiology,Reproduction & Physiology,Dynamic changes in the hormones of black-necked cranes during reproduction.,Beijing,China,Wildlife,Aves,Gruiformes,Grus nigricollis,black-necked cranes,350,-,EIA,No,,,,,,,,,,,,,,No stats,,,,,
1836,27,https://doi.org/10.3390/ani12091072,"Kusuda, S.; Funahashi, T.; Adachi, I.; Yamamoto, H.; Nagao, E.; Matsui, K.; Akiba, Y.",Animals,Veterinary & Clinical Sciences,Fecal Glucocorticoid Metabolites as a Noninvasive Indicator of Stress in the Tsushima Leopard Cats (Prionailurus bengalensis euptilurus): Application to Health Care.,Gifu/Sasebo/Tsushima/Fukuoka/Yokohama/Toyama,Japan,Wildlife,Mammalia,Carnivora,Prionailurus bengalensis euptilurus,Tsushima leopard cat,820,-,EIA,Statement,Statememt that serial dilutions of extracts of fecal samples demonstrated parallelism with cortisol and corticosterone standard curve,,,,,,,,,,,,,No stats,,,,,
1792,28,https://doi.org/10.1080/03014223.2021.1896560," Chiew S, Kym L. Butler, Kerry V. Fanson, Simon Eyre, Grahame J., Coleman, Sally L. Sherwen, Vicky Melfi & Paul H. Hemsworth",New Zealand Journal of Zoology,Behavioral & Welfare Science,Effects of the presence of zoo visitors on zoo-housed little penguins (Eudyptula minor),Parkville/Hamilton/Bundoora/Newtown/Gloucester,Australia/UK,Wildlife,Aves,Sphenisciformes,Eudyptula minor,little penguin,219,-,EIA,Prev,Sherwen and Fanson 2015,,,,,,,,,,,,,No stats,,,,,
1869,29,https://doi.org/10.1371/journal.pone.0261796,"Panchal N, Desai C, Ghosal R",PLoS ONE,Behavioral & Welfare Science,Fecal glucocorticoid metabolite levels in captive Indian leopards (Panthera pardus fusca) housed under three different enrichment regimes.,Gujarat,India,Wildlife,Mammalia,Carnivora,Panthera pardus fusca,leopard,131,SerDil,EIA,Prev,"Webster AB, Burroughs REJ, Laver P, Ganswindt A. Non-Invasive Assessment of Adrenocortical Activity as a Measure of Stress in Leopards Panthera pardus. African Zool. 2018; 53: 53–60. https://doi.org/10.1080/15627020.2018.1467280",,,,,,,,,,,,,No stats,,,,,
1816,30,https://doi.org/10.1093/jmammal/gyab168,"Greenberg, J. R., Montgomery, T. M., Holekamp, K. E., & Beehner, J. C. ",Journal of Mammalogy,Reproduction & Physiology,Validation and effects of drying and prey hair on fecal hormone concentrations in spotted hyenas,Madison/East Lansing,USA,Wildlife,Mammalia,Carnivora,Crocuta crocuta,spotted hyena,?,SerDil - Storage + influence hair,RIA,Yes,They modelled % B as a function of known concentrations of a serial dilution of a fecal extract pool and standard curve,N,,,,Y,T-test,t and p value. ,lack of significant as indication of parallelism,N,,,,Slopes comparison,Equality of slopes,Good,"""We tested for parallelism in the progesterone and corticosterone assays by modeling the percent binding as a function of the known concentrations of a serial dilution of a fecal extract pool and of the respective standard curve. For each hormone, we used a linear model to test for a significant interaction between the known concentrations and the type of sample (pool vs. standard). Lack of a significant interaction would indicate parallelism, meaning that the slopes of these lines do not significantly differ. ... ""Both the corticosterone and progesterone antibodies demonstrated parallelism; that is, there was no significant interaction between hormone concentration and type of sample (pool vs. standard) for corticosterone (t = 0.102, P = 0.208) or for progesterone (t = −1.357, P = 0.246).",,
1831,31,https://doi.org/10.3390/ani12070809,"Koester, D.C.; Maly, M.A.; Putman, S.; Edwards, K.L.; Meeks, K.; Crosier, A.E.",Animals,Reproduction & Physiology,An Investigation of Ovarian and Adrenal Hormone Activity in Post-Ovulatory Cheetahs (Acinonyx jubatus).,Cleveland/Front Royal/Raleigh/Chester/Yulee,US/UK,Wildlife,Mammalia,Carnivora,Acinonyx jubatus,chettah,27,3H-cortisol ,EIA,Prev,Koester et al. 2015; Young et al 2004,,,,,,,,,,,,,No stats,,,,,
1811,32, https://doi.org/10.1016/j.mex.2022.101881 ,"Fowler, K. J., Santymire R.M., ",MethodsX,Reproduction & Physiology,A novel field method for preserving African lion ( Panthera leo ) fecal samples for noninvasive hormone metabolite analysis,Chicago/Baltimore/Atlanta,USA,Wildlife,Mammalia,Carnivora,Panthera leo,African lion,42,SerDil + added standard,EIA,Yes,they demonstrated parallelism between the binding inhibition curves of dilutions of fecal extracts.,N,,,,Y,R-squared,??R squared,It is not specifcied which test was done. Looks like an R-square is reported in the table,N,,,,Other,???,Vague,!!! I have no idea what they did or what they reported - just a number but no indication of what it is,,
1868,33,https://doi.org/10.1093/cz/zoab104,"Ortiz-Jiménez L, Carlos Iglesias-Merchan, Alba Itzel Martínez-Salazar, Isabel Barja, ",Current Zoology,Behavioral & Welfare Science,"Effect of intensity and duration of anthropic noises on European mink locomotor activity and fecal cortisol metabolite levels,",Madrid/Mexico,EU/Mexico,Wildlife,Mammalia,Carnivora,Mustela lutreola,European mink,207,SerDil/added standard,EIA,Statement,"They state that "" the parallelism tests indicated that the curves made were parallel to the stanadard curves""",,,,,,,,,,,,,No stats,,,,,
1877,34,https://doi.org/10.1016/j.mex.2022.101623 ,"Postiglione, G., Accorsi, P. A., Ganswindt, A., & Crossey, B",MethodsX,Reproduction & Physiology,A field-friendly alternative to freeze-drying faeces for glucocorticoid metabolite analyses of African wild dogs ( Lycaon pictus ),Bologna/Pretoria,EU/South Africa,Wildlife,Mammalia,Carnivora,Lycaon pictus,African wild dog,40,-,EIA,Prev,""" Steroid extracts were measured for fGCM concentrations using an enzyme immunoassay (EIA) established for African wild dogs by ACTH challenge""- does  it include parallelism?  (Vlamings, B. H. A. C. ""Dog appeasing pheromone: a useful tool to minimize stress and aggression of African wild dogs (Lycaon pictus)."" PhD diss., University of Utrecht, 2011.)",,,,,,,,,,,,,No stats,,,,,
1885,36,https://doi.org/10.3390/ani12202820,"Romaniuk, A.C.; Barnard, S.;Weller, J.E.;Weng, H.-Y.; Dangoudoubiyam, S.; Croney, C.",Animals,Behavioral & Welfare Science,Dam (Canis familiaris) Welfare throughout the Peri-Parturient Period in Commercial Breeding Kennels,West Lafayette/Hillsborough,USA/UK,Domestic Animals,Mammalia,Carnivora,Canis lupus f. familiaris,domestic dog,176,-,EIA,Yes,statement and stats,N,,,,Y,F-test,"F, df and p-value",p > 0.05 = slopes are not significantly different,N,,,,Slopes comparison,Equality of slopes,Fine,,,
1791,37, https://doi.org/10.1016/j.jveb.2022.10.001 ,"Chen, P. Z., Chong, S. Q., Chong, Q., Chan, A. H., Fernandez, C. J., Chen, A. G., ... & Kenneth, B. H.",Journal of Veterinary Behavior,Behavioral & Welfare Science,he use of fecal cortisol for enrolment of free-roaming dogs in Singapore to a national rehabilitation-rehoming program: A possible indicator of allostasis. ,-,Singapore,Domestic Animals,Mammalia,Carnivora,Canis lupus f. familiaris,domestic dog,350,-,EIA,No,Statement indicating the kit was validated for canine fecal samples and then add intra- and inter - assay CV,,,,,,,,,,,,,No stats,,,,,
1785,38,https://doi.org/10.1016/j.theriogenology.2022.01.026,"Blank, M. H., Adania, C. H., Swanson, W. F., Angrimani, D. D. S. R., Nichi, M., Guimarães, M. A. D. B. V., & Barnabe, R. C.",Theriogenology,Reproduction & Physiology,"Comparative fecal steroid profile during pregnancy, parturition, and lactation between natural fertilization and embryo transfer in ocelots (Leopardus pardalis)",Sao Paulo/Jundiaí/Cincinnati,Brazil/USA,Wildlife,Mammalia,Carnivora,Leopardus pardalis,ocelot,240,-,EIA,Statement,"""Parallel displacement curves were obtained between serially diluted pooled fecal samples and [hormone] standard curves"".",,,,,,,,,,,,,No stats,,,,,
